name,ilce_adi,LST_C,NDVI_L8,NDBI_L8
Şakran Sayfiye Mahallesi,Aliağa,34.135751255945635,0.1498207277292618,-0.017024660569057
Şaşal Mahallesi,Menderes,36.08375396214849,0.2058275271913294,-0.0204298992319349
Şehit Mehmet Mahallesi,Çeşme,32.9826730127723,0.1663168191002444,0.00038258219108296354
Şehit Nedim Tuğaltay Mahallesi,Konak,34.95085653882261,0.065597709917253,0.0521383127708348
Şehitkemal Mahallesi,Aliağa,35.71449090699648,0.1644621208867529,-0.0217833422645525
Şehitler Mahallesi,Torbalı,36.075984163048645,0.1887895620522999,-0.04955087209060185
Şemikler Mahallesi,Karşıyaka,36.51487385177106,0.0790086281297491,0.0153152153866397
Şemsiler Mahallesi,Kiraz,34.40105490973793,0.2715805144656655,-0.0856544390011897
Şifne Mahallesi,Çeşme,33.545397743561814,0.1416467502283526,0.0009598584614717216
Şirince Mahallesi,Selçuk,30.84858546730845,0.2484501744621481,-0.1028061950086999
Şirinkapı Mahallesi,Buca,35.196097006034286,0.1264166754463705,-0.0070395711260925
Şirinkent Mahallesi,Urla,31.59349633379785,0.1991338495215994,-0.0613288105492665
Şirinköy Mahallesi,Ödemiş,36.03476463310528,0.2365078830932573,-0.0720698488162657
Şirintepe Mahallesi,Çiğli,36.537352114625406,0.0918578071619277,0.019777396030366
