||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
|İzmir(Bayraklı/Bayraklı Bel./Çiçek Mah.)-41112|9840.0|
|İzmir(Bayraklı/Bayraklı Bel./Doğançay Mah.)-41115|2242.0|
|İzmir(Bayraklı/Bayraklı Bel./Emek Mah.)-41117|12562.0|
|İzmir(Bayraklı/Bayraklı Bel./Fuat Edip Baksı Mah.)-41119|11077.0|
|İzmir(Bayraklı/Bayraklı Bel./Gümüşpala Mah.)-41121|15554.0|
|İzmir(Bayraklı/Bayraklı Bel./Körfez Mah.)-182846|5916.0|
|İzmir(Bayraklı/Bayraklı Bel./Manavkuyu Mah.)-40997|24158.0|
|İzmir(Bayraklı/Bayraklı Bel./Mansuroğlu Mah.)-40998|19688.0|
|İzmir(Bayraklı/Bayraklı Bel./Muhittin Erener Mah.)-41124|8178.0|
|İzmir(Bayraklı/Bayraklı Bel./Onur Mah.)-41126|14937.0|
|İzmir(Bayraklı/Bayraklı Bel./Org.Nafiz Gürman Mah.)-41127|13851.0|
|İzmir(Bayraklı/Bayraklı Bel./Osmangazi Mah.)-41002|25348.0|
|İzmir(Bayraklı/Bayraklı Bel./Postacılar Mah.)-41129|12544.0|
|İzmir(Bayraklı/Bayraklı Bel./R.Şevket İnce Mah.)-41130|12495.0|
|İzmir(Bayraklı/Bayraklı Bel./Soğukkuyu Mah.)-41131|11921.0|
|İzmir(Bayraklı/Bayraklı Bel./Tepekule Mah.)-41133|14256.0|
|İzmir(Bayraklı/Bayraklı Bel./Turan Mah.)-41136|311.0|
|İzmir(Bayraklı/Bayraklı Bel./Yamanlar Mah.)-41139|18662.0|
|İzmir(Bergama/Bergama Bel./Ahmetbeyler Mah.)-193397|248.0|
|İzmir(Bergama/Bergama Bel./Akçenger Mah.)-193671|180.0|
|İzmir(Bergama/Bergama Bel./Alacalar Mah.)-193401|107.0|
|İzmir(Bergama/Bergama Bel./Alhatlı Mah.)-193541|228.0|
|İzmir(Bergama/Bergama Bel./Alibeyli Mah.)-193547|394.0|
|İzmir(Bergama/Bergama Bel./Armağanlar Mah.)-193405|105.0|
|İzmir(Bergama/Bergama Bel./Aşağıbey Mah.)-193605|475.0|
|İzmir(Bergama/Bergama Bel./Aşağıcuma Mah.)-193611|475.0|
|İzmir(Bergama/Bergama Bel./Aşağıılgındere Mah.)-193549|79.0|
|İzmir(Bergama/Bergama Bel./Aşağıkırıklar Mah.)-193407|476.0|
|İzmir(Bergama/Bergama Bel./Atatürk Mah.)-41358|6035.0|
|İzmir(Bergama/Bergama Bel./Atçılar Mah.)-193749|56.0|
|İzmir(Bergama/Bergama Bel./Atmaca Mah.)-41359|1921.0|
|İzmir(Bergama/Bergama Bel./Avunduk Mah.)-193411|24.0|
|İzmir(Bergama/Bergama Bel./Avunduruk Mah.)-193413|46.0|
|İzmir(Bergama/Bergama Bel./Ayaskent Mah.)-193291|643.0|
|İzmir(Bergama/Bergama Bel./Ayvatlar Mah.)-193615|195.0|
|İzmir(Bergama/Bergama Bel./Aziziye Mah.)-193415|300.0|
|İzmir(Bergama/Bergama Bel./Bahçelievler Mah.)-41360|6736.0|
|İzmir(Bergama/Bergama Bel./Balaban Mah.)-193751|23.0|
|İzmir(Bergama/Bergama Bel./Barbaros Mah.)-41361|513.0|
|İzmir(Bergama/Bergama Bel./Bayramcılar Mah.)-193755|142.0|
|İzmir(Bergama/Bergama Bel./Bekirler Mah.)-193757|18.0|
|İzmir(Bergama/Bergama Bel./Bölcek Mah.)-193321|945.0|
|İzmir(Bergama/Bergama Bel./Bozköy Mah.)-193419|256.0|
|İzmir(Bergama/Bergama Bel./Bozyerler Mah.)-193761|240.0|
|İzmir(Bergama/Bergama Bel./Çakırlar Mah.)-193423|63.0|
|İzmir(Bergama/Bergama Bel./Çalıbahçe Mah.)-193791|60.0|
|İzmir(Bergama/Bergama Bel./Çaltıkoru Mah.)-193427|48.0|
|İzmir(Bergama/Bergama Bel./Çamavlu Mah.)-193619|528.0|
|İzmir(Bergama/Bergama Bel./Çamköy Mah.)-193429|147.0|
|İzmir(Bergama/Bergama Bel./Çamoba Mah.)-193553|72.0|
|İzmir(Bergama/Bergama Bel./Çeltikçi Mah.)-193675|150.0|
|İzmir(Bergama/Bergama Bel./Cevaplı Mah.)-193421|60.0|
|İzmir(Bergama/Bergama Bel./Çitköy Mah.)-193431|175.0|
|İzmir(Bergama/Bergama Bel./Çobanlar Mah.)-193679|97.0|
|İzmir(Bergama/Bergama Bel./Çürükbağlar Mah.)-193435|123.0|
|İzmir(Bergama/Bergama Bel./Dağıstan Mah.)-193439|546.0|
|İzmir(Bergama/Bergama Bel./Demircidere Mah.)-193623|116.0|
|İzmir(Bergama/Bergama Bel./Dereköy Mah.)-193667|116.0|
|İzmir(Bergama/Bergama Bel./Doğancı Mah.)-193443|118.0|
|İzmir(Bergama/Bergama Bel./Durmuşlar Mah.)-193557|366.0|
|İzmir(Bergama/Bergama Bel./Eğiller Mah.)-193683|135.0|
|İzmir(Bergama/Bergama Bel./Eğrigöl Mah.)-193447|159.0|
|İzmir(Bergama/Bergama Bel./Ertuğrul Mah.)-41362|2399.0|
