name,ilce_adi,own_assembly_m2,own_assembly_count,regional_assembly_m2,regional_assembly_count
Bozdağ Mahallesi,Ödemiş,5.46,1.0,0.0,0.0
Bozkurt Mahallesi,Konak,0.0,0.0,2419.79,51.0
Bozköy Mahallesi,Bergama,2242.84,5.0,0.0,2.0
Bozyaka Mahallesi,Karabağlar,9.37,1.0,2842.84,106.0
Bozyerler Mahallesi,Bergama,3.0,1.0,0.0,0.0
Boğaziçi Mahallesi,Konak,1.49,1.0,2872.59,45.0
Buca Koop Mahallesi,Buca,0.0,0.0,550.36,60.0
Buca Organize Sanayi Bölgesi,Buca,0.0,0.0,1523.75,41.0
Bucak Mahallesi,Ödemiş,2.58,1.0,1385.0,2.0
Bulgurca Mahallesi,Menderes,19.18,1.0,19.02,3.0
Buruncuk Mahallesi,Bayındır,503.0,2.0,0.0,0.0
Bölcek Mahallesi,Bergama,3.5,1.0,0.0,0.0
Bülbüldere Mahallesi,Torbalı,1.7,1.0,672.3,0.0
Bülbüller Mahallesi,Ödemiş,2.61,1.0,14.14,4.0
Büyükavulcuk Mahallesi,Ödemiş,923.0,1.0,2436.14,8.0
Büyükkale Mahallesi,Tire,2.23,1.0,1.56,1.0
Büyükkemerdere Mahallesi,Tire,1.73,1.0,1633.02,3.0
Büyükkömürcü Mahallesi,Tire,1.5,1.0,2393.0,4.0
Büyükoba Mahallesi,Kınık,8.72,1.0,929.5,2.0
Bıyıklar Mahallesi,Bayındır,726.3,2.0,4078.16,23.0
Bıçakçı Mahallesi,Ödemiş,7.46,2.0,0.0,0.0
Cambazlı Mahallesi,Tire,1.02,1.0,1368.96,5.0
Camiatik Mahallesi,Urla,2.41,1.0,1211.7,22.0
Camii Mahallesi,Bayındır,0.0,0.0,4804.46,25.0
Camiikebir Mahallesi,Menemen,0.0,0.0,1475.0,2.0
Camikebir Mahallesi,Seferihisar,29.84,4.0,30.52,4.0
Celal Bayar Mahallesi,Çeşme,505.74,2.0,579.56,21.0
Cengiz Topel Mahallesi,Konak,24.42,1.0,2877.72,41.0
Cengizhan Mahallesi,Bayraklı,0.0,0.0,20.7,3.0
Cennetoğlu Mahallesi,Karabağlar,1.63,1.0,2913.49,112.0
Cennetçeşme Mahallesi,Karabağlar,4.39,1.0,11762.1,24.0
Ceritler Mahallesi,Kiraz,1.9,1.0,248.8,13.0
Cevaplı Mahallesi,Bergama,225.0,1.0,402.5,2.0
Cevizalan Mahallesi,Ödemiş,885.0,1.0,500.0,1.0
Cevizli Mahallesi,Kiraz,1.7,1.0,0.0,0.0
Cumalı Mahallesi,Kemalpaşa,954.4,2.0,0.0,0.0
Cumhuriyet Mahallesi,Bayındır,254.34,46.0,0.0,0.0
Cüneytbey Mahallesi,Menderes,8.43,1.0,1922.26,25.0
Dallık Mahallesi,Tire,716.0,1.0,1624.0,7.0
Dalyan Mahallesi,Çeşme,813.67,9.0,6196.87,22.0
Damlacık Mahallesi,Kemalpaşa,560.54,3.0,0.0,0.0
Dayıemir Mahallesi,Konak,0.0,0.0,2524.33,56.0
Dağdere Mahallesi,Tire,520.0,1.0,1219.5,3.0
Dağkızılca Mahallesi,Torbalı,0.0,0.0,0.0,0.0
Dağteke Mahallesi,Torbalı,0.0,0.0,1.29,1.0
Dağıstan Mahallesi,Bergama,1.0,1.0,0.0,0.0
Dedebaşı Mahallesi,Karşıyaka,7.65,5.0,20462.21,108.0
Deliktaş Mahallesi,Dikili,7.9,1.0,2.77,2.0
Demirci Mahallesi,Torbalı,5.26,1.0,530.1,2.0
Demircidere Mahallesi,Bergama,640.0,1.0,0.0,0.0
Demircili Mahallesi,Ödemiş,1285.76,4.0,325.04,1.0
Demircilik Mahallesi,Bayındır,3.0,1.0,4306.53,25.0
Demirdere Mahallesi,Ödemiş,2.76,1.0,511.21,4.0
Demirköprü Mahallesi,Karşıyaka,13.76,4.0,20511.8,113.0
Demirtaş Mahallesi,Dikili,1.27,1.0,0.0,0.0
Denizköy Mahallesi,Dikili,4.5,1.0,0.0,0.0
Denizli Mahallesi,Urla,20.97,5.0,44.46,8.0
Dere Mahallesi,Tire,634.0,1.0,4554.53,30.0
Derebaşı Mahallesi,Tire,1.87,1.0,0.0,0.0
Dereköy Hacılar Mahallesi,Bergama,0.0,0.0,900.0,1.0
Dereköy Mahallesi,Bergama,266.52,6.0,294.02,0.0
Dereli Mahallesi,Tire,1.1,1.0,0.0,0.0
Dereuzunyer Mahallesi,Ödemiş,0.0,0.0,10.82,4.0
Dernekli Mahallesi,Bayındır,400.0,1.0,0.0,0.0
Develi Mahallesi,Menderes,5.88,1.0,0.0,0.0
Devrim Mahallesi,Karabağlar,18.72,4.0,12435.06,65.0
Değirmencieli Mahallesi,Kınık,2.27,1.0,14.74,3.0
Değirmendere Mahallesi,Menderes,7.34,1.0,0.0,0.0
Dibekçi Mahallesi,Tire,585.0,1.0,0.0,0.0
Dicle Mahallesi,Buca,6.0,1.0,3908.65,76.0
Dirmil Mahallesi,Torbalı,4.66,1.0,0.84,0.0
Dokuz Eylül Mahallesi,Gaziemir,12.79,3.0,356.73,28.0
Dokuzlar Mahallesi,Kiraz,3.2,1.0,0.0,0.0
Dolaplıkuyu Mahallesi,Konak,0.0,0.0,2911.32,57.0
Dolaylar Mahallesi,Ödemiş,3.47,1.0,57.13,1.0
Donanmacı Mahallesi,Karşıyaka,3.95,2.0,20076.96,79.0
Doyranlı Mahallesi,Tire,1.41,1.0,0.0,0.0
Doğa Mahallesi,Menemen,0.0,0.0,3176.0,1.0
Doğanay Mahallesi,Karabağlar,2.27,1.0,1602.22,98.0
Doğancı Mahallesi,Bergama,570.0,1.0,888.07,4.0
Doğancılar Mahallesi,Kiraz,8.94,2.0,1384.42,2.0
Doğanlar Mahallesi,Bornova,0.0,0.0,577.72,11.0
Doğançay Mahallesi,Bayraklı,0.0,0.0,1.0,1.0
Duatepe Mahallesi,Tire,10.14,1.0,5245.76,38.0
Dumlupınar Mahallesi,Tire,610.0,1.0,0.0,3.0
Durmuşlar Mahallesi,Bergama,7.0,1.0,500.0,2.0
Dündarlı Mahallesi,Tire,319.65,2.0,0.0,0.0
Düverlik Mahallesi,Torbalı,1.32,1.0,0.0,0.0
Düzce Mahallesi,Seferihisar,862.0,2.0,0.0,0.0
Efeler Mahallesi,Buca,60.07,2.0,2937.15,98.0
Efemçukuru Mahallesi,Menderes,2.84,1.0,1.1,1.0
Ege Mahallesi,Konak,0.0,0.0,943.63,23.0
Egekent Mahallesi,Çiğli,10.0,1.0,12171.56,47.0
Egemen Mahallesi,Kemalpaşa,955.35,2.0,897.58,12.0
Egemenlik Mahallesi,Bornova,0.0,0.0,39.4,5.0
Elifli Mahallesi,Bayındır,2.3,1.0,11.81,3.0
Elmadere Mahallesi,Kınık,929.5,2.0,563.29,3.0
Emek Mahallesi,Bayraklı,0.0,0.0,20039.51,85.0
Emenler Mahallesi,Kiraz,2.0,1.0,5.31,3.0
Emir Sultan Mahallesi,Konak,17.23,1.0,2872.49,40.0
Emiralem Merkez Mahallesi,Menemen,0.0,0.0,0.0,0.0
Emirli Mahallesi,Ödemiş,4.01,1.0,1.76,1.0
Emmioğlu Mahallesi,Ödemiş,9.99,2.0,47.65,4.0
Emrez Mahallesi,Gaziemir,4.96,1.0,750.97,51.0
Ergene Mahallesi,Bornova,0.0,0.0,887.14,20.0
Ergenli Mahallesi,Bayındır,1.2,1.0,7.5,3.0
Erikli Mahallesi,Beydağ,1.5,1.0,864.6,5.0
Ertuğrul Mahallesi,Ödemiş,41.51,6.0,0.0,0.0
Erzene Mahallesi,Bornova,393.58,2.0,286.98,7.0
Esatpaşa Mahallesi,Menemen,0.0,0.0,29989.0,4.0
Esenlik Mahallesi,Karabağlar,0.0,0.0,1126.16,93.0
Esentepe Mahallesi,Dikili,43.69,7.0,0.0,0.0
Esenyalı Mahallesi,Karabağlar,15.53,5.0,20033.35,84.0
Eskioba Mahallesi,Tire,2.05,1.0,2.21,2.0
Etiler Mahallesi,Konak,0.0,0.0,1721.05,33.0
Evka 3 Mahallesi,Bornova,0.0,0.0,387.58,1.0
Evka 4 Mahallesi,Bornova,46.38,5.0,1895.3,13.0
Evka-2 Mahallesi,Çiğli,19.35,4.0,11342.29,51.0
Evka-5 Mahallesi,Çiğli,21.6,2.0,12081.94,32.0
Evka-6 Mahallesi,Çiğli,3206.0,2.0,8130.99,46.0
Eğerci Mahallesi,Torbalı,219.45,1.0,0.0,15.0
Eğiller Mahallesi,Bergama,360.0,1.0,523.9,4.0
Eğitim Mahallesi,Balçova,6847.0,4.0,129884.04,48.0
Eğlenhoca Mahallesi,Karaburun,1.7,1.0,0.0,0.0
Eğridere Mahallesi,Tire,10.66,4.0,1.96,0.0
Eğrigöl Mahallesi,Bergama,4.2,1.0,2.5,1.0
Fahrettin Altay Mahallesi,Karabağlar,10.8,4.0,146068.84,57.0
Fahrettinpaşa Mahallesi,Çeşme,3.28,2.0,12673.42,36.0
Faik Paşa Mahallesi,Konak,0.0,0.0,2425.78,41.0
Fatih Mahallesi,Bergama,12614.81,23.0,0.0,0.0
Ferahlı Mahallesi,Konak,4.07,1.0,4301.09,60.0
Ferizler Mahallesi,Bergama,880.0,1.0,1171.4,3.0
Fevzi Paşa Mahallesi,Konak,0.0,0.0,1707.36,45.0
Fevzi Çakmak Mahallesi,Torbalı,58224.49,7.0,0.0,0.0
Fevzipaşa Mahallesi,Bergama,1197.78,5.0,5526.22,0.0
Fikri Altay Mahallesi,Karşıyaka,13.6,2.0,20547.88,120.0
Fuat Edip Baksı Mahallesi,Bayraklı,0.0,0.0,31.55,5.0
Fırat Mahallesi,Buca,41.5,5.0,2186.21,86.0
Fırınlı Mahallesi,Bayındır,6.5,1.0,3.8,2.0
Gaybi Mahallesi,Menemen,475.0,1.0,29514.0,3.0
Gaylan Mahallesi,Bergama,280.0,1.0,200.0,1.0
Gazi Mahallesi,Menemen,15.71,2.0,11605.53,84.0
Gazi Mustafa Kemal Mahallesi,Torbalı,5.5,1.0,1691.11,32.0
Gazi Osman Paşa Mahallesi,Bornova,0.0,0.0,1179.58,25.0
Gazikent Mahallesi,Gaziemir,5.14,1.0,184.31,27.0
Gaziler Mahallesi,Bayındır,12.42,3.0,740.9,0.0
Gaziosmanpaşa Mahallesi,Bergama,44.02,3.0,1048.12,15.0
Gazipaşa Mahallesi,Dikili,27.47,7.0,0.0,0.0
Gedik Mahallesi,Kiraz,1.0,1.0,1.6,1.0
General Asım Gündüz Mahallesi,Karabağlar,1.89,1.0,2907.28,103.0
General Kazım Özalp Mahallesi,Karabağlar,0.0,0.0,56934.23,77.0
Gereli Mahallesi,Ödemiş,3.25,1.0,905.33,5.0
Germiyan Mahallesi,Çeşme,2444.16,8.0,0.0,0.0
Gerçekli Mahallesi,Ödemiş,1.98,1.0,6.4,2.0
Goncalar Mahallesi,Karşıyaka,8.25,4.0,20378.81,102.0
Göbeller Mahallesi,Bergama,1.9,1.0,0.0,0.0
Gödence Mahallesi,Seferihisar,1.1,1.0,854.9,1.0
Gökdere Mahallesi,Bornova,4.0,1.0,94.78,2.0
Göksu Mahallesi,Buca,26.64,6.0,1327.23,66.0
Göktepe Mahallesi,Menemen,0.0,0.0,0.0,0.0
Gökyaka Mahallesi,Kemalpaşa,363.0,1.0,1973.2,4.0
Gökçealan Mahallesi,Selçuk,8.38,1.0,0.0,0.0
Gökçeağıl Mahallesi,Dikili,1.3,1.0,0.0,0.0
Gökçen Mahallesi,Tire,20.8,1.0,905.12,3.0
Gökçeyurt Mahallesi,Bergama,1445.0,4.0,0.0,0.0
Gölcük Mahallesi,Ödemiş,14.26,3.0,838.76,0.0
Gölcükler Mahallesi,Menderes,22.47,4.0,1872.26,13.0
Göllüce Mahallesi,Torbalı,91.8,1.0,0.0,0.0
Gölova Mahallesi,Menderes,2.61,1.0,0.0,0.0
Görece Cumhuriyet Mahallesi,Menderes,10.09,1.0,78.94,13.0
Görece Mahallesi,Menemen,0.0,0.0,0.0,0.0
Göztepe Mahallesi,Konak,895.0,2.0,6450.31,79.0
Göçbeyli Kaplan Mahallesi,Bergama,0.0,0.0,360.0,1.0
Göçbeyli Mahallesi,Bergama,6.5,1.0,5.0,1.0
Gülbahçe Mahallesi,Urla,12.95,1.0,0.0,0.0
Gültepe Mahallesi,Bergama,210.0,1.0,2871.0,7.0
Gülyaka Mahallesi,Karabağlar,1.16,1.0,2827.77,101.0
Gümüldür Atatürk Mahallesi,Menderes,5.23,1.0,0.83,0.0
Gümüldür Cumhuriyet Mahallesi,Menderes,4.14,1.0,0.0,0.0
Gümüldür Fevzi Çakmak Mahallesi,Menderes,14.45,2.0,0.0,0.0
Gümüldür İnönü Mahallesi,Menderes,2.29,1.0,0.0,0.0
Gümüşpala Mahallesi,Bayraklı,0.0,0.0,19817.59,41.0
Günaltay Mahallesi,Karabağlar,4.93,3.0,10439.15,98.0
Günerli Mahallesi,Menemen,0.0,0.0,0.0,0.0
Güney Mahallesi,Ödemiş,1413.45,3.0,0.0,0.0
Güneş Mahallesi,Konak,0.0,0.0,2402.77,41.0
Güneşli Mahallesi,Bergama,958.42,4.0,0.0,0.0
Güngör Mahallesi,Konak,0.0,0.0,2422.35,53.0
Günlüce Mahallesi,Ödemiş,3.94,1.0,71.15,5.0
Gürpınar Mahallesi,Bornova,0.0,0.0,16.9,3.0
Güven Mahallesi,Buca,1.71,1.0,3233.7,91.0
Güvendik Mahallesi,Urla,21.35,4.0,6.57,1.0
Güzelhisar Mahallesi,Aliağa,5804.0,2.0,0.0,0.0
Güzeltepe Mahallesi,Çiğli,1.5,1.0,11384.23,53.0
Güzelyalı Mahallesi,Konak,5.89,1.0,37138.05,79.0
Güzelyurt Mahallesi,Konak,0.0,0.0,1702.61,34.0
Hacı Beşir Mahallesi,Bayındır,0.0,0.0,4804.46,25.0
Hacı İbrahim Mahallesi,Bayındır,0.0,0.0,4801.6,24.0
Hacı İsa Mahallesi,Urla,0.0,0.0,1223.02,26.0
Hacıhamzalar Mahallesi,Bergama,1.15,1.0,625.0,1.0
Hacıhasan Mahallesi,Ödemiş,1.62,1.0,1.85,1.0
Hacıveli Mahallesi,Foça,809.9,3.0,606.15,8.0
Hacıömerli Mahallesi,Aliağa,23454.0,1.0,0.0,0.0
Halilağalar Mahallesi,Bergama,330.0,1.0,1460.0,3.0
Halilbeyli Mahallesi,Kemalpaşa,1381.0,2.0,0.0,0.0
Haliller Mahallesi,Kiraz,3.8,1.0,1502.35,4.0
Halkapınar Mahallesi,Tire,21.38,7.0,0.0,0.0
Halıköy Mahallesi,Beydağ,1.8,1.0,354.0,2.0
Hamam Mahallesi,Ödemiş,2.3,1.0,1923.68,6.0
Hamzababa Mahallesi,Kemalpaşa,634.0,1.0,0.0,0.0
Hamzahocalı Mahallesi,Kınık,3.76,1.0,10.0,3.0
Hamzalısüleymaniye Mahallesi,Bergama,0.0,0.0,848.0,2.0
Harmandalı Gazi Mustafa Kemal Atatürk Mahallesi,Çiğli,0.0,0.0,1714.2,8.0
Hasan Özdemir Mahallesi,Konak,0.0,0.0,3025.52,69.0
Hasanlar Mahallesi,Menemen,0.0,0.0,0.0,0.0
Hasançavuşlar Mahallesi,Tire,643.0,1.0,0.0,0.0
