name,ilce_adi,NDVI,NDBI
Bayramlı Mahallesi,Kemalpaşa,0.6661035876733574,-0.2194357441613062
Bayırlı Mahallesi,Ödemiş,0.659171959607082,-0.200497659405936
Bağalan Mahallesi,Kınık,0.4724602543753672,-0.063081026547798
Bağcılar Mahallesi,Menemen,0.4096464508658161,-0.0260785451986087
Bağyurdu 29 Ekim Mahallesi,Kemalpaşa,0.7044414919664707,-0.2549403995819013
Bağyurdu Organize Sanayi Bölgesi,Kemalpaşa,0.1715835210151298,0.0306479475430424
Başaran Mahallesi,Kiraz,0.4796579350260981,-0.0232764748876239
Başköy Mahallesi,Tire,0.5096269707944984,-0.0869456479507144
Bebekler Mahallesi,Ödemiş,0.6670204032191988,-0.2407527949169221
Bekirler Mahallesi,Bergama,0.5876121160004373,-0.0968824136563091
Belen Mahallesi,Menemen,0.4165380849087557,-0.031986489297317
Belenbaşı Mahallesi,Buca,0.4789847879858604,-0.1032177511910512
Belevi Mahallesi,Selçuk,0.5226352466312647,-0.1254454814768801
Bengiler Mahallesi,Seferihisar,0.549604366293568,-0.1489630097554083
Bengisu Mahallesi,Ödemiş,0.2022322753962727,0.0954186652650945
Bergama Organize Sanayi Bölgesi,Bergama,0.1262667260235246,0.0719200663560013
Beyazevler Mahallesi,Gaziemir,0.3748834608683878,-0.0677068076477984
Beyazıtlar Mahallesi,Ödemiş,0.5257692368567248,-0.0714679628245056
Beyköy Mahallesi,Beydağ,0.6015495624633511,-0.1547371674157651
Beyler Mahallesi,Seferihisar,0.4857178171486924,-0.0807297990224192
Beşpınar Mahallesi,Kemalpaşa,0.5199308591840702,-0.1161264717871584
Beşyol Mahallesi,Bornova,0.4425787733760931,-0.0769116297403601
Binbaşı Reşatbey Mahallesi,Gaziemir,0.1774161503661531,0.0272727510550589
Birgi Mahallesi,Ödemiş,0.5139294530815557,-0.06459355670208056
Birlik Mahallesi,Bornova,0.1252450612554943,0.0530553548612699
Bostanlı Mahallesi,Karşıyaka,0.1942753420794144,0.0209097335964189
Boyalık Mahallesi,Çeşme,0.2863698690872382,-0.0642012070525661
Boynuyoğun Mahallesi,Tire,0.5005918957301441,-0.1273202741357566
Bozalan Mahallesi,Menemen,0.5311957031387406,-0.1235221637304259
Bozcayaka Mahallesi,Ödemiş,0.4114429256577777,0.0128596685515566
Bozdağ Mahallesi,Ödemiş,0.5101790017084444,-0.1403786275025877
Bozkurt Mahallesi,Konak,0.2054177751093346,0.0655762571439638
Bozköy Mahallesi,Bergama,0.44016186723851836,-0.0815564858809495
Bozyaka Mahallesi,Karabağlar,0.087980791520596,0.0918119607918821
Bozyerler Mahallesi,Bergama,0.4766971467311983,-0.0745997990733874
Boğaziçi Mahallesi,Konak,0.1491775629186999,0.0720615908110795
Buca Koop Mahallesi,Buca,0.191085759474353,0.0184250934322835
