ILCE_ORJ,MAHALLE_ORJ,ALAN_M2,NUFUS_2025,TAHMINI_NUFUS_2026,TAHMINI_NUFUS_2027,XGB_TAHMINI_NUFUS_2026,XGB_TAHMINI_NUFUS_2027,KISI_BASI_M2_2025,XGB_KISI_BASI_M2_2026,XGB_KISI_BASI_M2_2027,HEDEF_ALAN_M2_2025,HEDEF_ALAN_M2_XGB_2026,HEDEF_ALAN_M2_XGB_2027,EKLENMESI_GEREKEN_ALAN_M2_2025,EKLENMESI_GEREKEN_ALAN_M2_XGB_2026,EKLENMESI_GEREKEN_ALAN_M2_XGB_2027,XGB_RISK_2025,XGB_RISK_2026,XGB_RISK_2027,ESLESME_TURU
Torbali,Torbali Mah.,31107.0,23490,24062,24647,24325,24468,1.3242656449553,1.2788078108941419,1.2713339872486513,35235.0,36487.5,36702.0,4128.0,5380.5,5595.0,1,1,1,EXACT
Karabaglar,Karabaglar Mah.,5388.0,7621,7532,7444,7458,7305,0.7069938328303372,0.7224456958970233,0.737577002053388,11431.5,11187.0,10957.5,6043.5,5799.0,5569.5,1,1,1,EXACT
Karsiyaka,Goncalar Mah.,8250.0,9169,9116,9064,9189,9202,0.8997709673901189,0.8978126020241594,0.8965442295153228,13753.5,13783.5,13803.0,5503.5,5533.5,5553.0,1,1,1,EXACT
Karabaglar,Limontepe Mah.,1275.0,4534,4481,4429,4453,4453,0.2812086457873842,0.28632382663373007,0.28632382663373007,6801.0,6679.5,6679.5,5526.0,5404.5,5404.5,1,1,1,EXACT
Konak,Murat Mah.,1780.0,4866,4790,4715,4755,4755,0.36580353473078503,0.3743427970557308,0.3743427970557308,7299.0,7132.5,7132.5,5519.0,5352.5,5352.5,1,1,1,EXACT
Konak,Saygi Mah.,750.0,4157,4092,4028,4113,4040,0.18041857108491702,0.18234865061998543,0.18564356435643564,6235.5,6169.5,6060.0,5485.5,5419.5,5310.0,1,1,1,EXACT
Karsiyaka,Ornekkoy Mah.,30850.0,24290,24151,24012,24023,23999,1.2700699876492383,1.2841859884277567,1.2854702279261636,36435.0,36034.5,35998.5,5585.0,5184.5,5148.5,1,1,1,EXACT
Menemen,Ulus Mah.,1400.0,4062,4176,4293,4191,4267,0.34465780403741997,0.3340491529467907,0.3280993672369346,6093.0,6286.5,6400.5,4693.0,4886.5,5000.5,1,1,1,EXACT
Bayrakli,Bayrakli Mah.,4480.0,6211,6141,6071,6176,6144,0.7213009177266141,0.7253886010362695,0.7291666666666666,9316.5,9264.0,9216.0,4836.5,4784.0,4736.0,1,1,1,EXACT
Bergama,Bahcelievler Mah.,5500.0,6736,6749,6761,6753,6755,0.8165083135391924,0.8144528357766918,0.8142116950407106,10104.0,10129.5,10132.5,4604.0,4629.5,4632.5,1,1,1,EXACT
