ILCE,MAHALLE,NUFUS,ALAN_M2,LST_C,NDVI,NDBI,KISI_BASI_M2,TARGET_AREA,AREA_DEFICIT,VULNERABILITY_RATIO
URLA,SIRA,3363,22506.0,34.41132270733412,0.3248058554581323,0.0110514553010415,6.69,5044.5,0.0,0.0
GUZELBAHCE,CELEBI,2692,16297.0,31.86795395019124,0.3388643920287615,-0.0159432956998154,6.05,4038.0,0.0,0.0
BERGAMA,RAHMANLAR,92,290.0,38.3034900493572,0.3981644413708297,0.0325152094974695,3.15,138.0,0.0,0.0
BAYINDIR,GAZILER,56,1200.0,34.279251623875055,0.3596806829912836,-0.0204252164837195,21.43,84.0,0.0,0.0
KONAK,KAHRAMANLAR,3969,4956.0,35.9756019780679,0.1249619193989687,0.0549978367771623,1.25,5953.5,997.5,16.75485008818342
BERGAMA,AZIZIYE,300,1900.0,36.61483803400799,0.2903706553868744,0.0241532134474331,6.33,450.0,0.0,0.0
KINIK,CALTI,386,3000.0,36.307433759492696,0.4090147970500957,-0.0165899228169838,7.77,579.0,0.0,0.0
BAYINDIR,LUTUFLAR,422,1600.0,32.72358215648712,0.5282774620550225,-0.1135509050100604,3.79,633.0,0.0,0.0
ODEMIS,KAZANLI,413,3765.0,34.58318723910319,0.5340758382047832,-0.1314259726267043,9.12,619.5,0.0,0.0
ODEMIS,YUSUFDERE,338,1913.0,35.3854707087917,0.5395388701142471,-0.0871596848649046,5.66,507.0,0.0,0.0
KIRAZ,KARABURC,2505,4260.0,34.36601996645749,0.4586508490369674,-0.033502627696842,1.7,3757.5,0.0,0.0
BAYINDIR,ALANKIYI,389,2000.0,25.80199660332081,0.6881277981236429,-0.2495581246887491,5.14,583.5,0.0,0.0
TORBALI,TORBALI,23490,31107.0,34.770827455274535,0.4060598815394509,-0.1263406237897475,1.32,35235.0,4128.0,11.715623669646657
KIRAZ,SULUDERE,1416,1700.0,34.612762739213736,0.5037487112897766,-0.0919353502400732,1.2,2124.0,424.0,19.962335216572505
KONAK,MURATREIS,11182,13431.0,35.96380831285918,0.1292359975031074,0.0794735871377825,1.2,16773.0,3342.0,19.92487927025577
MENEMEN,KEMALATATURK,6457,14500.0,32.0270030208733,0.4763652115002366,-0.1041316259071477,2.25,9685.5,0.0,0.0
TORBALI,ARSLANLAR,838,7210.0,36.46258804181824,0.4291246586498822,-0.0845067955411458,8.6,1257.0,0.0,0.0
DIKILI,DEMIRTAS,263,1270.0,38.27756079492253,0.3558155847951832,0.0229877671335635,4.83,394.5,0.0,0.0
BAYINDIR,KIZILCAAGAC,218,2140.0,30.10914923463758,0.6461427506737938,-0.2142887173731627,9.82,327.0,0.0,0.0
KEMALPASA,SUTCULER,4282,20473.0,33.375684441347,0.482853185394045,-0.0861173140802882,4.78,6423.0,0.0,0.0
TIRE,YENICIFTLIK,523,674.0,34.98225541906374,0.4308895028009991,-0.0969179066236954,1.29,784.5,110.5,14.085404716379859
MENDERES,CATALCA,606,3786.0,34.87720385651912,0.4618463565382305,-0.0596451418554288,6.25,909.0,0.0,0.0
BORNOVA,UMIT,4380,8000.0,36.41540963232976,0.2332260771803039,0.0272632644926416,1.83,6570.0,0.0,0.0
KONAK,MURAT,4866,1780.0,36.23725834926695,0.1668192242370643,0.0615662484305071,0.37,7299.0,5519.0,75.61309768461433
MENEMEN,GOKTEPE,845,2500.0,33.45799598454565,0.4782338429252514,-0.0881898053193901,2.96,1267.5,0.0,0.0
KEMALPASA,YESILYURT,158,1426.0,34.01520927933834,0.526464591080101,-0.1416067530420519,9.03,237.0,0.0,0.0
KARABAGLAR,PEKER,10527,5600.0,37.96585200412333,0.1685476125359666,0.0588783687404351,0.53,15790.5,10190.5,64.53563851682974
BALCOVA,CETINEMEC,10953,16813.0,34.358255847332,0.4712301655227959,-0.0973576908259165,1.54,16429.5,0.0,0.0
ODEMIS,ISIK,93,3200.0,37.27273540193875,0.5030087911275796,-0.0733833962541628,34.41,139.5,0.0,0.0
KIRAZ,MERSINLIDERE,556,700.0,31.506722082151644,0.4185831806635366,0.0117049084128468,1.26,834.0,134.0,16.06714628297362
MENDERES,OGLANANASIATATURK,1409,3072.0,36.95706498753653,0.351397040363155,-0.0093960843657202,2.18,2113.5,0.0,0.0
FOCA,YENIBAGARASI,5264,16885.0,33.94435069464939,0.293155827726567,-0.0418109679943392,3.21,7896.0,0.0,0.0
BAYRAKLI,KORFEZ,5916,21445.0,36.91660531598015,0.3889669725845006,-0.0176285984069919,3.62,8874.0,0.0,0.0
BAYINDIR,PINARLI,1244,4786.0,36.71443078278367,0.4593706449295708,-0.0576379898257144,3.85,1866.0,0.0,0.0
TORBALI,KAZIMKARABEKIR,3368,15800.0,37.03913824476783,0.2439393521282812,0.0302808733488326,4.69,5052.0,0.0,0.0
BUCA,CAMLIKULE,21632,9515.0,36.05473990234087,0.1047620104135339,0.0710217367499929,0.44,32448.0,22933.0,70.6761587771203
BUCA,KURUCESME,17407,10608.0,33.71965189097419,0.1568542440456288,0.0442290419247283,0.61,26110.5,15502.5,59.37266616878267
FOCA,ATATURK,6745,31936.0,35.68731680672323,0.3799539990906325,-0.0547180156972577,4.73,10117.5,0.0,0.0
DIKILI,SALIMBEY,6341,75800.0,35.38670194926415,0.3350949825639188,0.0324067449557021,11.95,9511.5,0.0,0.0
KARABAGLAR,VATAN,24325,6365.0,36.05000223534774,0.1810182453394445,0.0446980844446778,0.26,36487.5,30122.5,82.55566974991436
BUCA,GUVEN,6549,1711.0,36.98769060419738,0.1006107934970537,0.1183070245220301,0.26,9823.5,8112.5,82.58258258258259
ALIAGA,SAMURLU,422,1605.0,36.11927189843219,0.3645388870635772,-0.0269463898805913,3.8,633.0,0.0,0.0
BERGAMA,PASAKOY,115,1170.0,35.271252582909284,0.2808908954812196,0.0321494963303097,10.17,172.5,0.0,0.0
GAZIEMIR,ATIFBEY,15315,50285.0,35.0207730645851,0.1907502497432269,0.048032937676122,3.28,22972.5,0.0,0.0
ODEMIS,YILANLI,117,500.0,28.9951846018823,0.5205350938554961,-0.1027290422533441,4.27,175.5,0.0,0.0
KONAK,MEHMETALIAKMAN,6336,9412.0,35.12891889836007,0.2820351011491111,-0.0558132267010562,1.49,9504.0,92.0,0.968013468013468
BEYDAG,COMAKLAR,300,1600.0,26.1935841205741,0.6534700393190239,-0.2028608505706978,5.33,450.0,0.0,0.0
KIRAZ,PINARBASI,118,1700.0,29.178312237307097,0.5535148229026168,-0.0980997928107136,14.41,177.0,0.0,0.0
MENEMEN,TELEKLER,143,2200.0,39.85332790807286,0.3470682022454365,0.0728542614455329,15.38,214.5,0.0,0.0
URLA,RUSTEM,1366,4300.0,33.577816116715134,0.422973682523465,-0.0238889024775025,3.15,2049.0,0.0,0.0
KEMALPASA,ORNEKKOY,4141,14308.0,36.23230888888534,0.3367374320139601,-0.041492035690336,3.46,6211.5,0.0,0.0
MENDERES,EFEMCUKURU,428,2838.0,34.28875293840067,0.4831933637934442,-0.0789078891066792,6.63,642.0,0.0,0.0
KONAK,ISMETPASA,4120,2300.0,36.092603366943045,0.16593743823124,0.058947949399158,0.56,6180.0,3880.0,62.7831715210356
BERGAMA,NARLICA,758,1171.0,36.94218285627961,0.4841705159499884,-0.0647311446083802,1.54,1137.0,0.0,0.0
MENEMEN,9EYLUL,10552,57740.0,36.94592057792709,0.310034913967694,-0.0306652820967605,5.47,15828.0,0.0,0.0
MENDERES,ATAKOY,1877,4460.0,29.41252026228317,0.6024775919412945,-0.1824289397848619,2.38,2815.5,0.0,0.0
MENDERES,ORTA,2910,11718.0,29.820963971531743,0.5429044921210081,-0.1765641145123503,4.03,4365.0,0.0,0.0
TIRE,HALKAPINAR,159,1700.0,32.51530406403808,0.3640682798407755,-0.0906156359427782,10.69,238.5,0.0,0.0
KEMALPASA,SOGUKPINAR,9920,16256.0,30.820485964264712,0.5819024857225482,-0.1906265519980699,1.64,14880.0,0.0,0.0
BERGAMA,KIRANLI,372,1150.0,30.59312615531096,0.5256396664691191,-0.0696226022581057,3.09,558.0,0.0,0.0
BORNOVA,GOKDERE,379,4000.0,31.57660116545262,0.4936083794536159,-0.1184989862729488,10.55,568.5,0.0,0.0
MENDERES,CILEME,1931,24349.0,34.30640596256987,0.3928316891625845,0.003027789928924,12.61,2896.5,0.0,0.0
TIRE,IPEKCILER,1629,884.0,38.3790614895931,0.1769222984511737,0.0621263585315637,0.54,2443.5,1559.5,63.82238592183344
TORBALI,FEVZICAKMAK,15461,34260.0,36.78997168107461,0.2992589943213493,0.0246661569928337,2.22,23191.5,0.0,0.0
GAZIEMIR,YESIL,8864,10000.0,30.430066737854933,0.5773713484860877,-0.1800641005081104,1.13,13296.0,3296.0,24.789410348977135
KARABAGLAR,POLIGON,3929,5544.0,34.43133827426384,0.5418266905219874,-0.1119153192991222,1.41,5893.5,349.5,5.9302621532196484
BAYRAKLI,ALPASLAN,8107,2975.0,35.902437328184966,0.1223227077874155,0.0643991720991857,0.37,12160.5,9185.5,75.53554541342874
BERGAMA,BOZYERLER,240,3000.0,34.55036607187119,0.4766971467311983,-0.0745997990733874,12.5,360.0,0.0,0.0
KIRAZ,OLGUNLAR,1476,650.0,32.104915315561655,0.3520707434739708,0.0583411923180904,0.44,2214.0,1564.0,70.64137308039747
ODEMIS,VELILER,154,5148.0,32.75856414317167,0.5041343541572464,-0.0671440515402935,33.43,231.0,0.0,0.0
KARABAGLAR,BAHRIYEUCOK,2673,2382.0,35.86743225472487,0.2056175244314758,0.0474586389855818,0.89,4009.5,1627.5,40.5910961466517
BERGAMA,ATMACA,1921,5922.0,38.32021725361079,0.2245709370645567,0.0570553455351851,3.08,2881.5,0.0,0.0
BERGAMA,CAKIRLAR,63,300.0,29.50233949208031,0.6520722056839218,-0.1998965168945052,4.76,94.5,0.0,0.0
KARABAGLAR,TAHSINYAZICI,8820,40098.0,35.52253342617391,0.2522120570033254,-0.007722610906043,4.55,13230.0,0.0,0.0
KARABURUN,SALMAN,132,1123.0,33.94452896953943,0.4214247965731283,-0.028132302939406,8.51,198.0,0.0,0.0
KARABAGLAR,MUAMMERAKAR,6857,1244.0,35.813429701568936,0.3969476619359413,-0.0309407492219913,0.18,10285.5,9041.5,87.90530358271353
BAYRAKLI,TEPEKULE,14256,38667.0,35.75261597770438,0.1901431414842282,0.0190458101679749,2.71,21384.0,0.0,0.0
KIRAZ,KARAMAN,463,1200.0,37.01651612044056,0.4844212954562287,-0.0254747169664842,2.59,694.5,0.0,0.0
BAYRAKLI,POSTACILAR,12544,30983.0,37.54236264450462,0.1954670372648084,0.0428313762408143,2.47,18816.0,0.0,0.0
DIKILI,CUKURALANI,107,500.0,36.0260086456905,0.5089024874689961,-0.1007969749553938,4.67,160.5,0.0,0.0
URLA,OZBEK,1875,19759.0,31.767065931388032,0.5836498600752966,-0.1406397175965645,10.54,2812.5,0.0,0.0
TIRE,YENIOBA,233,1468.0,36.08343035363778,0.3800408135054048,0.0272957781571717,6.3,349.5,0.0,0.0
TORBALI,CAPAK,1856,5723.0,37.27008279551471,0.3553266338446739,-0.0343669007818281,3.08,2784.0,0.0,0.0
KONAK,GUNESLI,7588,8422.0,36.90561594596464,0.1143896450135868,0.1064310895752197,1.11,11382.0,2960.0,26.005974345457737
TIRE,SOMAK,187,466.0,34.49256422720845,0.481146617218192,-0.1062254646705613,2.49,280.5,0.0,0.0
KONAK,KILICREIS,6684,5414.0,36.30865661458756,0.1073253912127893,0.1041174090619178,0.81,10026.0,4612.0,46.000398962696984
BERGAMA,AKCENGER,180,450.0,34.274997531721226,0.4436129761816584,-0.0248237459743111,2.5,270.0,0.0,0.0
ALIAGA,KARAKUZU,515,4327.0,36.35974275408828,0.4274105666712409,-0.0341739012765119,8.4,772.5,0.0,0.0
KARABAGLAR,CENNETOGLU,3833,1630.0,37.626420654791474,0.1179569949162986,0.0716838451648637,0.43,5749.5,4119.5,71.64970867031916
KINIK,SUCAHLI,187,2500.0,35.65352490976398,0.4117139610688803,-0.0415368676833225,13.37,280.5,0.0,0.0
BAYINDIR,HASKOY,772,11500.0,34.8913272990162,0.4724298781318377,-0.1380605694470857,14.9,1158.0,0.0,0.0
BAYINDIR,HACIIBRAHIM,1351,2410.0,37.70203815604072,0.4496122814878038,-0.0113546329625117,1.78,2026.5,0.0,0.0
CIGLI,KUCUKCIGLI,21784,3037.0,39.17970379827708,0.0979563033568545,0.0542700240225084,0.14,32676.0,29639.0,90.70571673399436
BERGAMA,KOCAKOY,28,125.0,34.1914178389242,0.535354936343077,-0.0750798583372263,4.46,42.0,0.0,0.0
SEFERIHISAR,IHSANIYE,100,2069.0,33.98875290840732,0.5145141413002832,-0.118338974370469,20.69,150.0,0.0,0.0
TIRE,DUMLUPINAR,557,610.0,33.2701028946322,0.2967796201109426,0.0163787152765226,1.1,835.5,225.5,26.98982645122681
ODEMIS,TURKMEN,4649,15592.0,38.13050033204798,0.3949492186437773,-0.0701179419999634,3.35,6973.5,0.0,0.0
TIRE,OSMANCIK,257,1225.0,28.33517268324318,0.5802400006079914,-0.1508808242312028,4.77,385.5,0.0,0.0
BERGAMA,ASAGICUMA,475,4000.0,36.622977217106666,0.5082819600170712,-0.0707869107325044,8.42,712.5,0.0,0.0
KARABURUN,EGLENHOCA,507,1700.0,30.87637298294796,0.5674000640044422,-0.1208337099306725,3.35,760.5,0.0,0.0
BERGAMA,OKSUZLER,148,325.0,36.160925145503526,0.4551229663003108,0.0101700151851281,2.2,222.0,0.0,0.0
KARSIYAKA,DEMIRKOPRU,6811,13759.0,36.07010770256773,0.1165673398861607,0.0739497350502233,2.02,10216.5,0.0,0.0
KARABAGLAR,SELVILI,8434,8103.0,36.97103798918136,0.1377882889045741,0.0697084949862697,0.96,12651.0,4548.0,35.94972729428504
MENDERES,KARAKUYU,979,8323.0,33.59468888363508,0.4491062631131797,-0.1011206378205684,8.5,1468.5,0.0,0.0
TIRE,HASANCAVUSLAR,150,643.0,34.30698913168057,0.4454948234359182,-0.0522264788455052,4.29,225.0,0.0,0.0
MENDERES,SANCAKLI,855,3968.0,33.76476098029078,0.4793720343990615,-0.074213766157529,4.64,1282.5,0.0,0.0
BERGAMA,OKCULAR,205,400.0,30.95447260714209,0.6013334516321844,-0.1619332279752503,1.95,307.5,0.0,0.0
KARABAGLAR,CENNETCESME,3105,4390.0,36.58492599532636,0.2403623917136585,0.0414212690222284,1.41,4657.5,267.5,5.743424584004294
MENEMEN,DOGA,576,4509.0,37.01255017039114,0.3906888096769517,-0.0161545714681683,7.83,864.0,0.0,0.0
SEFERIHISAR,TURABIYE,7873,12000.0,32.12885608723217,0.4371832433896802,-0.0400061018024624,1.52,11809.5,0.0,0.0
MENEMEN,GUNERLI,243,1700.0,34.62410229099391,0.3487736452405237,-0.042704680348353,7.0,364.5,0.0,0.0
GUZELBAHCE,YELKI,6875,18245.0,32.66363294778053,0.4574002005102311,-0.071525702298708,2.65,10312.5,0.0,0.0
BORNOVA,KOSUKAVAK,7690,1000.0,35.821271366953795,0.0870452356662518,0.0562473858550147,0.13,11535.0,10535.0,91.33073255309925
KINIK,YUKARI,679,440.0,38.16075828835278,0.3086577017696981,0.0295556724583399,0.65,1018.5,578.5,56.79921453117329
DIKILI,CANDARLI,8381,19500.0,36.52426871774912,0.3391352830944033,-0.0101336933683572,2.33,12571.5,0.0,0.0
KONAK,LALE,3347,1000.0,35.73017961719102,0.2206336413810735,0.0225614840321424,0.3,5020.5,4020.5,80.08166517279155
ALIAGA,YUKARISEHITKEMAL,687,845.0,35.71449090699648,0.3351780814428676,-0.0144972954692323,1.23,1030.5,185.5,18.00097040271713
