ILCE,MAHALLE,NUFUS_2025,ARTIS_HIZI_BINDE,TAHMINI_NUFUS_2026,TAHMINI_NUFUS_2027
Bergama,Saricaoglu Mah.,96,1.88,96,96
Bergama,Saridere Mah.,459,1.88,460,461
Bergama,Saganci Mah.,291,1.88,292,292
Bergama,Seklik Mah.,288,1.88,289,289
Bergama,Selcuk Mah.,1711,1.88,1714,1717
Bergama,Sindel Mah.,164,1.88,164,165
Bergama,Suleymanli Mah.,139,1.88,139,140
Bergama,Talatpasa Mah.,666,1.88,667,669
Bergama,Tavukcukuru Mah.,228,1.88,228,229
Bergama,Tekkedere Mah.,214,1.88,214,215
Bergama,Tepekoy Mah.,1250,1.88,1252,1255
Bergama,Terzihaliller Mah.,258,1.88,258,259
Bergama,Tiyelti Mah.,158,1.88,158,159
Bergama,Topallar Mah.,183,1.88,183,184
Bergama,Turabey Mah.,3285,1.88,3291,3297
Bergama,Tirmanlar Mah.,422,1.88,423,424
Bergama,Ulucamii Mah.,740,1.88,741,743
Bergama,Yalnizdam Mah.,65,1.88,65,65
Bergama,Yalnizev Mah.,814,1.88,816,817
Bergama,Yenikent Mah.,858,1.88,860,861
Bergama,Yeniler Mah.,108,1.88,108,108
Bergama,Yerlitahtaci Mah.,151,1.88,151,152
Bergama,Yortanli Mah.,55,1.88,55,55
Bergama,Yukariada Mah.,345,1.88,346,346
Bergama,Yukaribey Mah.,918,1.88,920,921
Bergama,Yukaricuma Mah.,206,1.88,206,207
Bergama,Yukarikiriklar Mah.,117,1.88,117,117
Bergama,Zafer Mah.,4374,1.88,4382,4390
Bergama,Zagnoz Mah.,75,1.88,75,75
Bergama,Zeytindag Mah.,2618,1.88,2623,2628
Bergama,Cakirlar Mah.,63,1.88,63,63
Bergama,Caltikoru Mah.,48,1.88,48,48
Bergama,Calibahce Mah.,60,1.88,60,60
Bergama,Camavlu Mah.,528,1.88,529,530
Bergama,Camkoy Mah.,147,1.88,147,148
Bergama,Camoba Mah.,72,1.88,72,72
Bergama,Celtikci Mah.,150,1.88,150,151
Bergama,Citkoy Mah.,175,1.88,175,176
Bergama,Cobanlar Mah.,97,1.88,97,97
Bergama,Curukbaglar Mah.,123,1.88,123,123
Bergama,Oksuzler Mah.,148,1.88,148,149
Bergama,Orenli Mah.,364,1.88,365,365
Bergama,Orlemis Mah.,266,1.88,267,267
Bergama,Urkutler Mah.,158,1.88,158,159
Bergama,Uctepe Mah.,64,1.88,64,64
Bergama,Ikizler Mah.,129,1.88,129,129
Bergama,Incecikler Mah.,187,1.88,187,188
Bergama,Inesir Mah.,114,1.88,114,114
Bergama,Inkilap Mah.,1331,1.88,1334,1336
Bergama,Islamsaray Mah.,1477,1.88,1480,1483
Bergama,Ismailli Mah.,166,1.88,166,167
Beydag,Adakure Mah.,387,-4.61,385,383
Beydag,Aktepe Mah.,451,-4.61,449,447
Beydag,Alakecili Mah.,102,-4.61,102,101
