ILCE,MAHALLE,NUFUS,ALAN_M2,LST_C,NDVI,NDBI,KISI_BASI_M2
BERGAMA,PASAKOY,115,1170.0,35.271252582909284,0.2808908954812196,0.0321494963303097,10.17
BERGAMA,PINARKOY,853,2650.0,35.7455368539458,0.494535127930189,-0.0624943947246254,3.11
BERGAMA,PIRVELILER,130,500.0,35.464695598627635,0.502588559083286,-0.0527477049112811,3.85
BERGAMA,RAHMANLAR,92,290.0,38.3034900493572,0.3981644413708297,0.0325152094974695,3.15
BERGAMA,SAGANCI,291,1400.0,37.60631045664957,0.3371493350723685,0.0207919338312191,4.81
BERGAMA,SARICALAR,228,1000.0,37.392970085182846,0.4130221578855046,-0.0446823212247203,4.39
BERGAMA,SARICAOGLU,96,570.0,32.68136989502425,0.5258785568513138,-0.0877851766108743,5.94
BERGAMA,SARIDERE,459,980.0,32.79193955329907,0.4418211417744572,-0.0621295059346114,2.14
BERGAMA,SEKLIK,288,990.0,39.83995515202368,0.3438667951313789,0.0681179137448648,3.44
BERGAMA,SELCUK,1711,5766.0,37.05574595857655,0.3106527026990666,0.0253538930076068,3.37
BERGAMA,SINDEL,164,830.0,34.654902082625284,0.5030967062715249,-0.0964570095820649,5.06
BERGAMA,SULEYMANLI,139,380.0,36.70686160390133,0.380776081636514,-0.0295156082557046,2.73
BERGAMA,TAVUKCUKURU,228,1450.0,33.97804204752792,0.5356304555414559,-0.0622950752523014,6.36
BERGAMA,TEKKEDERE,214,1700.0,33.123199644819266,0.4489258182214408,-0.0632477839333037,7.94
BERGAMA,TEPEKOY,1250,6700.0,36.77233882693437,0.287594042337929,0.0074052114345152,5.36
BERGAMA,TERZIHALILLER,258,625.0,34.87687552401123,0.5039991735144083,-0.046631927241683,2.42
BERGAMA,TIRMANLAR,422,1250.0,34.506958715944904,0.4891321200313047,-0.0506657235059603,2.96
BERGAMA,TIYELTI,158,790.0,34.741146427675126,0.4123552405075844,0.0005632329122147,5.0
BERGAMA,TOPALLAR,183,500.0,30.95918421669712,0.5296088667417758,-0.1046281829201078,2.73
BERGAMA,UCTEPE,64,360.0,31.5909157941278,0.5699779616227523,-0.1228481407926623,5.62
BERGAMA,ULUCAMII,740,4000.0,37.11173952749444,0.3372943828957637,0.0254252297851916,5.41
BERGAMA,URKUTLER,158,685.0,32.472694313890464,0.5319137072059431,-0.087389548073481,4.34
BERGAMA,YALNIZDAM,65,560.0,34.84874275704139,0.5629215578694277,-0.1166435683381206,8.62
BERGAMA,YALNIZEV,814,2250.0,37.29916826232717,0.4159435747430884,-0.0350394449019789,2.76
BERGAMA,YENIKENT,858,5100.0,33.37838459970979,0.36718402352391,-0.0316179398093675,5.94
BERGAMA,YENILER,108,300.0,35.3031195901861,0.4032333138129109,0.0269324157392256,2.78
BERGAMA,YERLITAHTACI,151,580.0,32.60484957273389,0.5389725747263654,-0.0925003049163851,3.84
BERGAMA,YORTANLI,55,210.0,35.42632129305157,0.4615960396921336,-0.0110827271881934,3.82
BERGAMA,YUKARIADA,345,1230.0,31.83246084748236,0.5488384666441336,-0.09767893596809,3.57
BERGAMA,YUKARICUMA,206,1000.0,33.993671794312554,0.5457081772246315,-0.0786377463331833,4.85
