HEDEF_ALAN_M2_2025,HEDEF_ALAN_M2_2026,HEDEF_ALAN_M2_2027,EKLENMESI_GEREKEN_ALAN_M2_2025,EKLENMESI_GEREKEN_ALAN_M2_2026,EKLENMESI_GEREKEN_ALAN_M2_2027
2463.0,2424.0,2386.5,963.0,924.0,886.5
22405.5,22152.0,21900.0,1372.5,1119.0,867.0
2112.0,2155.5,2199.0,731.0,774.5,818.0
18742.5,18529.5,18319.5,1240.5,1027.5,817.5
1728.0,1722.0,1716.0,828.0,822.0,816.0
5953.5,5860.5,5769.0,997.5,904.5,813.0
1389.0,1387.5,1384.5,789.0,787.5,784.5
4830.0,4870.5,4911.0,530.0,570.5,611.0
4594.5,4723.5,4855.5,334.5,463.5,595.5
1018.5,1009.5,1000.5,578.5,569.5,560.5
2463.0,2434.5,2406.0,573.0,544.5,516.0
885.0,883.5,882.0,485.0,483.5,482.0
852.0,876.0,900.0,377.0,401.0,425.0
3760.5,3792.0,3823.5,360.5,392.0,423.5
924.0,922.5,919.5,424.0,422.5,419.5
2124.0,2121.0,2118.0,424.0,421.0,418.0
3258.0,3337.5,3418.5,251.0,330.5,411.5
4474.5,4608.0,4746.0,64.5,198.0,336.0
1135.5,1132.5,1129.5,335.5,332.5,329.5
930.0,928.5,927.0,330.0,328.5,327.0
8398.5,8568.0,8742.0,0.0,128.0,302.0
2001.0,1998.0,1995.0,301.0,298.0,295.0
1036.5,1035.0,1032.0,286.5,285.0,282.0
1030.5,1051.5,1072.5,185.5,206.5,227.5
835.5,832.5,829.5,225.5,222.5,219.5
5893.5,5824.5,5757.0,349.5,280.5,213.0
2686.5,2719.5,2754.0,144.5,177.5,212.0
3394.5,3406.5,3417.0,188.5,200.5,211.0
585.0,583.5,583.5,185.0,183.5,183.5
4657.5,4603.5,4549.5,267.5,213.5,159.5
4947.0,4926.0,4905.0,197.0,176.0,155.0
460.5,459.0,457.5,143.5,142.0,140.5
834.0,832.5,831.0,134.0,132.5,131.0
784.5,781.5,780.0,110.5,107.5,106.0
1932.0,1915.5,1897.5,132.0,115.5,97.5
691.5,690.0,690.0,91.5,90.0,90.0
14200.5,14139.0,14079.0,200.5,139.0,79.0
3043.5,3054.0,3064.5,43.5,54.0,64.5
859.5,858.0,856.5,59.5,58.0,56.5
223.5,229.5,234.0,23.5,29.5,34.0
1098.0,1095.0,1093.5,28.0,25.0,23.5
1069.5,1057.5,1044.0,48.5,36.5,23.0
9504.0,9355.5,9210.0,92.0,0.0,0.0
